que,ans,index,my_pick,animal,king,eng,plant,food,english,religion
맥주 맛이 강한 빵은?,카스테라,380,,,,,,1,,
스님들이 가장 좋아하는 숫자는?,5(열반),381,,,,,,,,1
안무를 거꾸로 춘 댄서의 심경은?,무안하다,382,,,,,,,,
일본에 있는 자판기는?,Japan기,383,,,,,,,1,
아이스크림이 가수가 될 수 없는 이유는?,녹음 안되니까,384,,,,,,,,
배기가스가 더 이상 나오지 않으면?,뚝배기,385,,,,,,,,
소를 살 때 내는 세금은?,소득세,386,,1,,,,,,
전깃줄이 한숨을 쉬면?,휴전선,387,,,,,,,,
직장인이 좋아하는 근육 부위는?,칼퇴근,388,,,,,,,,
책이 드문드문 있는 곳은?,북한산,389,,,,,,,,
말이 많은 채소는?,찬 호박,390,,,,,1,,,
시장에서 뛰는 것을 다른 말로?,장거리달리기,391,,,,,,,,
옛날 시가 더 멋있는 이유는?,오랜 시 간지나서,392,,,,,,,,
가장 가소로운 채소는?,오이오이,393,,,,,1,,,
햄버거가 울면 달래주기 힘든 이유는?,버거운 일이라서,394,,,,,,1,,
축구 해설자가 건강에 안 좋은 이유는?,해설하면서 골골거리기 때문,395,1,,,,,,,
항상 의심을 하면서 하는 게임은?,젠가,396,,,,,,,,
박찬호 선수 발가락이 큰 이유는?,Too Much Toe 커 라서,397,,,,,,,1,
벌판이 웃으면?,허허벌판,398,,,,,,,,
이빨이 다 빠진 예술가는?,다빈치,399,,,,,,,,
이상하게 털 뽑는 사람을 보면서 하는 말은?,제 모하냐?,400,,,,,,,,
늘 바쁜 사람이 아픈 곳은?,Hurry,401,,,,,,,1,
자기소개를 가장 못하는 물고기는?,전....어......,402,,1,,,,,,
대학 입시를 가장 많이 실패한 축구 선수는?,이천수,403,,,,,,,,
가장 향기로운 야채는?,양파(향기로 우니까),404,,,,,1,,,
태양이 두 개가 되면 날씨가 시원해지는 이유는?,sunsun 해지니까,405,,,,,,,1,
응급실 의사들이 가는 길은?,비탈(vital)길,406,,,,,,,1,
남자가 철이 들지 않는 이유는?,Male에는 Fe가 없기 때문,407,,,,1,,,1,
서울대 의대생이 사과할 때 쓰는 말은?,I am sorry(아임 설의),408,,,,,,,1,
북한의 수장을 영어로하면?,E book reader,409,,,,,,,1,
말을 때리면 대마초가 되는 이유는?,말이 화나니까,410,,,,,,,,
1주일 먹을 음식을 5자로?,한주먹거리,411,,,,,,,,
중고나라에 기생충들이 많은 이유는?,para site 라서,412,,,,,,,1,
거짓말을 반복하는 사람을 세글자로?,또 라이(lie),413,,,,,,,1,
김치가 가위바위보에서 바위를 냈는데 진 이유는?,묵은지기 때문,414,,,,,,,,
빌 게이츠가 노래를 부를 땐?,마이크로 소프트하게 부름,415,,,,,,,,
모기가 나를 물어서 내가 모기를 쳐다보자 모기가 한 말은?,왱~,416,,,,,,,,
문신하면 무시할 수 없는 이유는?,"무시
ㄴㄴ",417,,,,,,,,
가을에 벼를 수확하는 이유는?,날씨가 쌀쌀해서,418,,,,,1,,,
"열역학 나라의 신하 a, b, c 중 반란을 일으킨 사람은?",b가역적,419,,,,1,,,,
지하철이 광화문 밑을 지날 때 내는 소리는?,고궁 고궁,420,,,,,,,,
고래 인형을 3자로?,Doll고래,421,,,,,,,1,
높은 목소리로 인사하면?,고성방가,422,,,,,,,,
딱지치기를 하면 피곤한 이유는?,딱 지치기 좋은 놀이라서,423,1,,,,,,,
대한민국 어린이들이 가장 좋아하는 기름은?,5월 5일,424,,,,,,,,
세균이 가장 많은 나라는?,Germ many,425,,,,,,,1,
칼이 물은 못 베어도 음료수는 벨 수 있는 이유는?,칼로 음료수를 beverage,426,,,,,,,1,
